LEA_STATE,YEAR,gap_var,b1,b2,b3,b4,n_gt1,min,max,n
ID,2013,ENR_AP_GAP_AS,1.05387931,1.05387931,1.05387931,1.05387931,1,0.04375,1.05387931,24
ID,2013,ENR_AP_GAP_BL,1.638443033,1.757748198,1.843810559,2.056965714,5,0.037411527,2.435945988,14
ID,2013,ENR_AP_GAP_HI,1.432083333,1.657801418,2.03,2.704636499,26,0.431372549,6.507858377,33
ID,2015,ENR_AP_GAP_AS,1.177702611,1.31224431,1.597291847,1.749230769,4,0.106086957,1.834615385,22
ID,2015,ENR_AP_GAP_BL,2.227888519,2.405117791,2.430498353,2.511319965,5,0.103305785,2.69161629,15
ID,2015,ENR_AP_GAP_HI,1.201525334,1.437788065,1.685763956,2.215407238,23,0.723140496,3.5,28
ID,2017,ENR_AP_GAP_AS,1.052814635,1.271707951,1.911428578,2.274801272,4,0.232474964,2.5,24
ID,2017,ENR_AP_GAP_BL,1.791053559,1.982963008,2.362548235,4.201847864,10,0.347902098,5.379701686,15
ID,2017,ENR_AP_GAP_HI,1.446097646,1.625806452,1.917972964,2.090291088,27,0.16,9.097610922,35
ID,2020,ENR_AP_GAP_AS,1.232590246,1.266973321,1.367788996,1.53503727,3,0.159633028,1.702285545,22
ID,2020,ENR_AP_GAP_BL,1.247162445,1.4552896,1.864982836,2.697270781,9,0.324214792,8.963383187,12
ID,2020,ENR_AP_GAP_HI,1.426439536,1.699574673,2.067388579,2.397745239,24,0.214285714,6.916666667,29
ID,2021,ENR_AP_GAP_AS,1.106464484,1.277006046,1.646775525,2.111723981,5,0.066666667,2.369230769,26
ID,2021,ENR_AP_GAP_BL,1.273723203,1.490345367,1.895058376,2.730112272,9,0.155745489,8.987242395,14
ID,2021,ENR_AP_GAP_HI,1.429489241,1.665041354,2.139917596,3.343497916,27,0.276923077,14.79008568,30
IL,2011,ENR_AP_GAP_AS,1.151630921,1.241948299,1.319762499,1.449729082,13,0.014319809,4.55599473,162
IL,2011,ENR_AP_GAP_BL,1.902231448,2.440309328,3.007317073,4.336837325,111,0.031339031,13.33745124,136
IL,2011,ENR_AP_GAP_HI,1.403871656,1.800969187,2.135677394,2.617678643,127,0.041884817,9.805253623,164
IL,2013,ENR_AP_GAP_AS,1.152765201,1.288276784,1.401621745,2.29833207,10,0.016666667,3.341569767,159
IL,2013,ENR_AP_GAP_BL,1.738632311,2.271839029,2.803505411,3.583485925,109,0.022151899,9.532267442,136
IL,2013,ENR_AP_GAP_HI,1.36493303,1.5402528,1.875156384,2.211800792,133,0.028673835,10.1609775,182
IL,2015,ENR_AP_GAP_AS,1.158106638,1.194189602,1.345439189,1.477361564,11,0.047003525,1.624625139,150
IL,2015,ENR_AP_GAP_BL,1.66944438,2.194387913,2.714477626,3.574789121,122,0.106060606,9.968911917,140
IL,2015,ENR_AP_GAP_HI,1.315856128,1.561387156,1.875340796,2.446780421,138,0.080128205,5.514771384,190
IL,2017,ENR_AP_GAP_AS,1.035708717,1.1495206,1.346329533,1.934175809,17,0.033333333,7.989431968,175
