"GEOG","LEA_STATE","SCHOOLS","YEAR","ENR","ENR_HS_TOT","STU_TEACH_RAT","ENR_AP","SCH_FTETEACH_TOT","SCH_APCOURSES_TOT","SCH_APCOURSES_MODE","SCH_APCOURSES_MEAN","PCT_ENR_WH","PCT_ENR_BL","PCT_ENR_AS","PCT_ENR_HI","PCT_ENR_OTH","PCT_ENR_NON_WH","PCT_ENR_AP","ENR_AP_GAP_BL","ENR_AP_GAP_AS","ENR_AP_GAP_HI"
"STATE","HI",290,2015,182913,50219,15.2267618995215,6682,12012.6000003815,0,NA,NA,0.128213959642016,0.0198126978399567,0.301301711742741,0.120253891194174,0.430417739581112,0.871786040357984,0.0365310284124146,1.27809982659103,1.01781792508056,1.70673682473224
"STATE","HI",292,2017,180814,50385,14.890512148093,7761,12142.9000024796,345,9,8.84615384615385,0.122158682402911,0.0172165872111673,0.286012145077262,0.142212439302266,0.432400146006393,0.877841317597089,0.0429225613060936,1.26995133819951,0.956638344419363,1.59854712425507
"STATE","HI",259,2020,101481,52060,9.7570379208757,5211,10400.7999992371,334,9,8.35,0.177915077699274,0.0222701786541323,0.403385855480336,0.242124141464905,0.415397956267676,0.822084922300726,0.0513495137020723,1.62629207527167,0.902029439834156,2.14079339601009
"STATE","HI",294,2021,172476,52292,14.0929956643852,5938,12238.4200000763,500,17,12.1951219512195,0.112491013242422,0.0136656694264709,0.2562095595909,0.175920128017811,0.441713629722396,0.887508986757578,0.0344279783853986,1.13565035623859,0.716207079290244,2.04543003551885
"STATE","IA",1458,2011,496711,143232,NA,15298,0,0,NA,NA,0.805287179063882,0.0536368230218376,0.0223892766618819,0.0856836268977333,0.033003094354665,0.194712820936118,0.0307985931457125,1.32582376365803,0.378715285426989,1.45457333050409
"STATE","IA",1424,2013,501498,145018,14.2611811376288,12750,35165.25,0,NA,NA,0.787737937140328,0.0542056000223331,0.0231326944474355,0.0963832358254669,0.0385405325644369,0.212262062859672,0.0254238302047067,1.22809977962046,0.34669722485713,1.18928874711198
"STATE","IA",1365,2015,503130,146985,14.1229473877616,15580,35624.9999512136,0,NA,NA,0.772774432055334,0.0574225349313299,0.0246755311748455,0.102156500308071,0.0429710015304196,0.227225567944666,0.0309661518891738,1.08924962980448,0.382654154347174,1.08439839726915
"STATE","IA",1343,2017,506255,147745,14.1400951997572,16627,35802.799970448,903,1,5.16,0.758730284145342,0.0617751923437793,0.0253666630453033,0.107888317152423,0.0462395433131525,0.241269715854658,0.032843132413507,1.31643633885492,0.418316639225597,1.25313663881008
"STATE","IA",1314,2020,495771,151660,13.6917270119385,18764,36209.5300006866,1037,1,5.82584269662921,0.739000465940928,0.0663229595922311,0.0257397064370445,0.116507419756299,0.0524294482734972,0.260999534059072,0.037848119393833,1.11082587007609,0.399339735476685,1.17878840046108
"STATE","IA",1298,2021,485197,154060,13.6899997241529,16608,35441.7099909782,1075,1,6.03932584269663,0.733990523436872,0.0657464906007251,0.0248373341137723,0.120299589651214,0.0551260621974167,0.266009476563128,0.0342293954826596,1.41535017811316,0.386152113447142,1.44909250349333
